rdweb.wvd.microsoft.com,443,
rdbroker.wvd.microsoft.com,443,
windows365.microsoft.com,443,
cpcsaamssa1prodprap01.blob.core.windows.net,443,
cpcsaamssa1prodprau01.blob.core.windows.net,443,
cpcsaamssa1prodpreu01.blob.core.windows.net,443,
cpcsaamssa1prodpreu02.blob.core.windows.net,443,
cpcsaamssa1prodprna01.blob.core.windows.net,443,
cpcsaamssa1prodprna02.blob.core.windows.net,443,
cpcsacnrysa1prodprna02.blob.core.windows.net,443,
cpcsacnrysa1prodprap01.blob.core.windows.net,443,
cpcsacnrysa1prodprau01.blob.core.windows.net,443,
cpcsacnrysa1prodpreu01.blob.core.windows.net,443,
cpcsacnrysa1prodpreu02.blob.core.windows.net,443,
cpcsacnrysa1prodprna01.blob.core.windows.net,443,
cpcstcnryprodprap01.blob.core.windows.net,443,
cpcstcnryprodprau01.blob.core.windows.net,443,
cpcstcnryprodpreu01.blob.core.windows.net,443,
cpcstcnryprodprna01.blob.core.windows.net,443,
cpcstcnryprodprna02.blob.core.windows.net,443,
cpcstprovprodpreu01.blob.core.windows.net,443,
cpcstprovprodpreu02.blob.core.windows.net,443,
cpcstprovprodprna01.blob.core.windows.net,443,
cpcstprovprodprna02.blob.core.windows.net,443,
cpcstprovprodprap01.blob.core.windows.net,443,
cpcstprovprodprau01.blob.core.windows.net,443,
prna01.prod.cpcgateway.trafficmanager.net,443,
prna02.prod.cpcgateway.trafficmanager.net,443,
preu01.prod.cpcgateway.trafficmanager.net,443,
preu02.prod.cpcgateway.trafficmanager.net,443,
prap01.prod.cpcgateway.trafficmanager.net,443,
prau01.prod.cpcgateway.trafficmanager.net,443,
endpointdiscovery.cmdagent.trafficmanager.net,443,
registration.prna01.cmdagent.trafficmanager.net,443,
registration.preu01.cmdagent.trafficmanager.net,443,
registration.prap01.cmdagent.trafficmanager.net,443,
registration.prau01.cmdagent.trafficmanager.net,443,
login.microsoftonline.com,443,
login.live.com,443,
login.windows.net,443,
www.msftconnecttest.com,443,
enterpriseregistration.windows.net,443,
rdweb.wvd.microsoft.com,443,
microstest.servicebus.windows.net,443,
go.microsoft.com,443,
aka.ms,443,
learn.microsoft.com,443,
privacy.microsoft.com,443,
geo-prod.do.dsp.mp.microsoft.com,443,
oneclient.sfx.ms,443,
digicert.com,443,
events.data.microsoft.com,443,
production.diagnostics.monitoring.core.windows.net,443,
manage.microsoft.com,443,
approdimedatahotfix.azureedge.net,443,
approdimedatapri.azureedge.net,443,
approdimedatasec.azureedge.net,443,
euprodimedatahotfix.azureedge.net,443,
euprodimedatapri.azureedge.net,443,
euprodimedatasec.azureedge.net,443,
naprodimedatahotfix.azureedge.net,443,
naprodimedatapri.azureedge.net,443,
naprodimedatasec.azureedge.net,443,
ekcert.spserv.microsoft.com,443,
ekop.intel.com,443,
ftpm.amd.com,443,
lgmsapeweu.blob.core.windows.net,443,
config.office.com,443,
graph.windows.net,443,
global.azure-devices-provisioning.net,443,
hm-iot-in-prod-preu01.azure-devices.net,443,5671
hm-iot-in-prod-prap01.azure-devices.net,443,5671
hm-iot-in-prod-prna01.azure-devices.net,443,5671
hm-iot-in-prod-prau01.azure-devices.net,443,5671
